phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,2.764305,0.342999,1.758349,0.388957,0.395473
warmup,2,2.338072,0.384988,1.656547,0.41124,0.410226
warmup,3,2.254617,0.394258,1.644065,0.409249,0.414531
finetune,1,1.256583,0.616596,1.339515,0.558804,0.558806
finetune,2,0.833135,0.743582,1.427395,0.551399,0.556434
finetune,3,0.658542,0.800883,1.54504,0.556903,0.558928
finetune,4,0.565711,0.832859,1.573912,0.56744,0.565102
