phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.82727,0.389628,1.561031,0.409495,0.417075
warmup,2,1.508056,0.442004,1.497526,0.43558,0.447129
warmup,3,1.456442,0.452526,1.490862,0.433835,0.444391
finetune,1,0.875183,0.606791,1.184101,0.544889,0.559111
finetune,2,0.601102,0.702812,1.227544,0.574241,0.584084
finetune,3,0.493183,0.750211,1.215179,0.577865,0.58792
finetune,4,0.436935,0.775472,1.245996,0.583794,0.591232
