phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.841683,0.340231,1.710992,0.411956,0.395086
warmup,2,1.672775,0.374542,1.666419,0.395132,0.38814
warmup,3,1.641716,0.382446,1.657993,0.3986,0.397502
finetune,1,0.974969,0.573139,1.242992,0.529117,0.538504
finetune,2,0.654874,0.686455,1.244989,0.539207,0.553382
finetune,3,0.511523,0.747072,1.383966,0.547596,0.556196
finetune,4,0.4407,0.779212,1.405449,0.537976,0.5499
